"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Kazakhstan",-0.349178291637215,0.655860527257922,-0.966638955069109,-1.14466275015315,-1.15470168388085,-0.958076714821312,0.735991375240531,0.841157436561758,0.152634235361979,0.221061621370714,-0.41972417425734,0.50677679595981
"Kenya",-0.707287273958647,-0.652143788282893,-0.362023083435443,-0.135386586742981,-0.00635102733917836,0.398197705132996,0.169511135746468,1.09236386774685,-0.196535556554691,0.698999375173742,-0.281928431985317,0.338137371937501
"Korea, South",1.42889929614585,0.976689401786658,0.242592787835453,1.129824130987,0.950607853112215,0.79573549182909,0.735991375240531,0.28001493525622,0.767874694292831,0.978139421227469,0.467212225084498,0.220326307962469
"Kuwait",0.070452436455039,0.0828615985314929,-0.966638955069109,-1.65521712721449,-1.15470168388085,-0.139214487844336,-1.71875632912584,-0.201067421390768,-0.190557949304253,0.0714184872938564,-0.150675550926485,0.402509718254011
"Kyrgyz Republic",-0.797279071248632,-0.0510514690977232,-0.966638955069109,-0.185236853017265,-0.294582083553003,-0.899632969127361,0.331362632744772,0.486495690126709,-0.623436839204829,0.799455094800523,0.254914232708592,-0.365092720653061
"Laos",-0.70749114173362,0.163267283473674,-0.966638955069109,-0.421559984520635,-2.4944441165128,-1.19195344103299,0.978768620737987,1.10781273335773,0.471639610790036,-0.648857715985571,-0.159161692342003,-0.414097852676075
"Latvia",0.965107191574779,1.03961563912462,0.847208659469119,0.652357183554447,1.14199962920249,1.04603706132195,0.978768620737987,0.138627670027589,0.641041155218348,0.773599320463135,1.12886228894877,0.626240988740269
"Lebanon",-0.470695097202848,-0.331022815785656,-0.362023083435443,-0.171541724965445,0.759216077021937,0.376112272985384,-1.1792513393473,1.78429899405644,-0.822282437957291,1.03924218767067,-0.17158484075103,-1.15688916570717
"Lesotho",-0.134254254302075,-1.68838427504773,0.847208659469119,1.05718517179541,-0.125609555033686,-0.0913627168513287,-0.437431977997171,-1.30775441676653,0.153109188827605,-0.288794613492145,-0.578309421766881,0.342621835910986
"Liberia",-0.810162992653058,0.0924984686432089,-0.362023083435443,1.0437091655747,-0.234719026995584,-0.297493421430574,-0.909498844134323,0.719100367037516,-0.670536083418128,0.801411859769626,-0.703580329165533,-1.28241079173163
"Libya",-1.78372644034369,-1.96181876222195,-0.966638955069109,-0.298632514209283,-1.72887701215169,-1.75881287769833,-1.98850882433882,-1.41564663817978,-1.31043398048356,-1.84840356074005,-1.91068316458414,-1.66601798901669
"Lithuania",1.03513084007239,0.863177262805973,0.847208659469119,0.608751895974708,1.14199962920249,1.11965516992357,0.978768620737987,0.6122781668766,0.838589517634731,0.785757578979978,0.994588098610459,0.990041701973572
"Luxembourg",1.71065011747748,1.28709510278208,0.847208659469119,1.00404807450471,1.14199962920249,1.23008233313519,0.735991375240531,-1.88981417789141,2.04670154803684,0.764402456971881,1.09402228404539,0.83004737602458
"Macedonia",-0.0693254591080834,0.386480059492221,-0.362023083435443,0.527238493157112,0.376432524841379,0.0963634598045212,0.735991375240531,-0.167589471959855,-0.0940846917897059,-0.0794851965705496,0.794994786646624,1.15141384587342
"Madagascar",-0.91610118994766,0.091506051075697,0.847208659469119,0.0574408175045737,-0.580526355610015,0.361388651141383,0.169511135746468,0.994895319848034,-1.5822507483615,-0.248320098188705,-0.265759904462101,-1.14800326558194
"Malawi",-0.113320488134265,0.489957819950402,0.242592787835453,0.644359229027768,0.164069419392967,0.0761184800782144,0.169511135746468,-0.347378152714851,-0.352929026482051,-1.08685096391179,-0.797772554480341,-1.2206361215659
"Malaysia",0.192531805303371,0.370897435293346,-0.966638955069109,-2.07878005035583,-1.15470168388085,-0.551475895766041,-0.882523594742507,0.309747060235074,0.356245718866032,-1.75363826790096,0.439797864493159,1.56034615476582
